configuration,feature_count,mean_rmse_aud,sd_rmse_aud,mean_mae_aud,rmse_change_vs_cleaned_raw_aud
+ ratios and missing indicators,50,36064.8085547654,1283.084539363288,19047.2849822199,-46.14249066024058
+ property-age income backup,50,36073.800280483716,1319.3467012710425,18978.718391914932,-37.15076494192181
Cleaned raw features,31,36110.95104542564,1184.5971880471877,19086.756008316974,0.0
