model,mean_raw_rmse_aud,sd_raw_rmse_aud,mean_constrained_rmse_aud,sd_constrained_rmse_aud,mean_constrained_mae_aud,sd_constrained_mae_aud,predictions_below_zero,predictions_above_request
Random Forest,35994.54768691078,1446.9324368657205,35994.206196121246,1447.0473694338878,17988.565576754052,540.3584489534719,0,7
Histogram Gradient Boosting,36084.11587925789,1280.609121011126,36064.8085547654,1283.084539363288,19047.2849822199,624.0049121267813,205,233
Ridge,50082.490955056106,13098.633948969544,43305.6438017906,887.3919294296046,27867.53657374427,395.5319489838185,1397,959
