model,mean_rmse_aud,sd_rmse_aud,mean_mae_aud
Tier HGB - expected rate,34658.375732444336,1374.2171773080959,17161.76207232028
Tier HGB - hard tier,39458.86663073804,2454.957229109514,14424.70315160953
